Description,Code,Number of jobs (thousand),Median,median_annual_percentage_change,Mean,mean_annual_percentage_change,p10,p20,p25,p30,p40,p60,p70,p75,p80,p90
South East ,E12000008,"4,134",37,,32.5,,15,24,28.8,32.2,35,37.5,37.5,38.4,39.9,40.1
Bracknell Forest UA,E06000036,61,37,,33.8,,20.4,28.6,30.5,34.3,36,37.5,37.5,39,39.9,x
Brighton and Hove UA,E06000043,147,35.5,,31,,14.2,21,24.3,29.1,34.5,37,x,37.5,37.5,40
Buckinghamshire UA,E06000060,234,37,,32.4,,14.9,22.5,27.7,32,35,37.5,37.5,38.9,40,40.5
Isle of Wight UA,E06000046,48,36.8,,30.9,,x,20,24.2,27.9,32.3,37,37.5,38,39.7,x
Medway UA,E06000035,118,37,,33.4,,17,25.2,30.1,32.5,35,37.4,38,39.1,40,40.1
Milton Keynes UA,E06000042,125,36.8,,33.3,,18.8,27.9,31.6,34.1,35,37.1,37.5,37.5,38.5,40
Portsmouth UA,E06000044,87,36.1,,31.3,,13.6,20.2,24,28,34,37,37.5,37.5,39,x
Reading UA,E06000038,83,37,,33.5,,18,27.5,31.4,34.5,36,37.5,37.5,37.6,39.9,x
Slough UA,E06000039,61,37.5,,34.1,,18.6,29.8,34.1,35,37,37.5,37.6,39.2,40,x
Southampton UA,E06000045,118,37,,33.9,,18,29,32,35,35,37.5,37.6,39.1,40,42.3
West Berkshire UA,E06000037,78,37.4,,33.6,,15,26.2,34.5,35,36.8,37.5,37.6,39,40,x
Windsor and Maidenhead UA,E06000040,76,37,,32.5,,14.1,24.8,30,32.5,35,37.5,x,37.5,38,x
Wokingham ,E06000041,84,37,,33.2,,17.5,30,32.2,35,36.4,37.5,x,37.5,37.9,x
East Sussex,E10000011,217,36.5,,31.6,,15,22.1,25,29.5,34.2,37,37.5,38.5,39.8,40
  Eastbourne,E07000061,37,37,,32.4,,x,24,26.2,30,35,37,37.7,39,40,x
  Hastings,E07000062,40,37,,32.7,,17.8,26.2,30,32.5,35,37.2,37.9,38.6,39,x
  Lewes,E07000063,42,35.9,,31.1,,15.7,21,23.1,25.8,33.5,37,37.5,37.5,38.3,x
  Rother,E07000064,34,36,,31,,13.6,18.9,22.9,27.5,32,37,37.5,38.3,39.8,x
  Wealden,E07000065,63,35.7,,31.1,,12.1,21,24,27.5,33.2,37,37.5,38,39.9,x
Hampshire,E10000014,710,36.9,,32.1,,15,23.3,27.6,30.1,35,37.4,37.5,37.9,39.8,40
  Basingstoke and Deane,E07000084,90,37,,33.7,,19.2,29.9,32.4,34.6,36.4,37.5,37.5,37.5,38.9,x
  East Hampshire,E07000085,66,36.9,,32.4,,15.6,24.3,29.8,32,35,37.5,37.5,37.9,39.8,x
  Eastleigh,E07000086,79,36.9,,32.2,,16.2,24,28,30,35,37.4,37.5,39,39.9,x
  Fareham,E07000087,59,36.9,,31.7,,14.5,24.1,29.1,30,35,37,37.5,37.5,38.9,x
  Gosport,E07000088,44,37,,32.3,,15,25,30,32.2,36.1,37,37.5,x,37.5,x
  Hart,E07000089,45,37,,33,,16.6,26.1,30,32.4,35,37.5,37.5,38.9,40,x
  Havant,E07000090,56,36.9,,31.9,,15.9,21.9,23.5,27.9,32.8,37.4,37.6,39.2,40,x
  New Forest,E07000091,85,35,,30.1,,10.7,18.4,22.2,25,30,37,37.5,37.6,39.9,x
  Rushmoor,E07000092,47,37,,32.6,,16.2,24,28.5,30,35,37.4,37.5,38.4,40,x
  Test Valley,E07000093,74,37,,31.7,,11.5,22.5,25.2,30,35,37.4,37.5,37.9,39.7,x
  Winchester,E07000094,66,36.9,,31.3,,14.9,20.2,25.9,31.5,34.8,37,x,37.5,37.9,x
Kent,E10000016,633,37,,33,,15.5,24.5,30,32.5,35,37.5,38,39.9,40,41.7
  Ashford,E07000105,49,37,,33.8,,x,28.5,31.1,32.7,36.2,37.5,39.9,40,40,x
  Canterbury,E07000106,62,37,,31.6,,12.8,20,23.9,30,35,37.5,38,39.8,40,x
  Dartford,E07000107,51,35.9,,33.1,,17.8,29.6,32.3,33.9,35,37.3,37.5,37.5,38.9,x
  Dover,E07000108,42,36.9,,32.2,,14.6,22.6,26.7,30.4,34.9,37.5,37.9,39.1,40,x
  Gravesham,E07000109,41,37,,33.6,,15.6,23.8,31.5,32.5,35,37.5,39.8,40,40,x
  Maidstone,E07000110,75,37,,34,,17.3,28,32.5,34.5,35.9,37.5,39,40,40,x
  Sevenoaks,E07000111,49,35.6,,31.7,,12,20,25.8,29.3,35,37.4,37.5,38.1,40,x
  Folkestone and Hythe,E07000112,42,35.9,,32.8,,14,25.2,30,32,35,37,37.5,39.8,40,x
  Swale,E07000113,71,37,,33.6,,19.1,25.9,29.9,31.9,35,37.5,39.1,40,40,x
  Thanet,E07000114,48,36.2,,31.9,,15,22.9,25.2,30,34.8,37,37.5,38.7,39.9,x
  Tonbridge and Malling,E07000115,60,37,,33.1,,15,25.3,30.3,32.5,35,37.5,37.5,38.4,40,x
  Tunbridge Wells,E07000116,45,37,,33.6,,15.4,29,32.3,35,35,37.5,38,39.9,40,x
Oxfordshire,E10000025,363,37,,32.3,,14.7,24.2,28,32,35,37.5,37.5,37.9,39.9,40
  Cherwell,E07000177,79,37,,33.3,,16.2,25.9,30,32.5,36,37.5,37.8,39.9,40,x
  Oxford,E07000178,78,37,,31.3,,12.1,20,25.9,30,35,x,37.5,37.5,37.9,x
  South Oxfordshire,E07000179,74,36.2,,31.3,,12.4,23.2,26.5,30,35,37,37.5,37.5,37.9,x
  Vale of White Horse,E07000180,71,37,,33.4,,15.6,27.8,32,32.7,36.9,37.5,37.5,38.8,40,x
  West Oxfordshire,E07000181,61,37,,32.1,,15.4,22.9,25.3,28.9,34.4,37.5,37.5,39,40,x
Surrey,E10000030,513,36.8,,32.7,,15.1,25,30,32.5,35,37.5,37.5,39,40,40
  Elmbridge,E07000207,55,35,,32,,14.4,23,28,30,35,36.1,37.5,38.1,39.9,x
  Epsom and Ewell,E07000208,36,35,,30.9,,x,22.1,27.1,30,33.8,37,37.5,37.7,39.9,x
  Guildford,E07000209,67,37,,33.3,,16.1,28,32.2,34.8,35.9,37.5,37.5,38.6,40,x
  Mole Valley,E07000210,38,36.2,,31.9,,x,20,25,31.4,35,37.5,37.5,38.9,40,x
  Reigate and Banstead,E07000211,56,36.5,,33.1,,17.3,26.4,30,32.5,35,37.5,37.9,39.9,40,x
  Runnymede,E07000212,36,37.4,,34.3,,x,30,32.5,35,36.3,37.5,37.9,39.7,40,x
  Spelthorne,E07000213,43,36,,32.3,,15.6,24,27.1,32.1,35,37.4,37.5,37.5,39.4,x
  Surrey Heath,E07000214,42,37.4,,33.3,,15.9,29.7,32.4,35,36.1,37.5,x,37.7,40,x
  Tandridge,E07000215,36,36.2,,31.7,,x,24,28,32,35,37.5,37.5,39.8,40,x
  Waverley,E07000216,56,36.9,,32.8,,15.6,24,28,32.3,35,37.5,37.5,39.5,40,x
  Woking,E07000217,48,37.3,,33.4,,14.9,26,30.4,34.9,36,37.5,38,39.9,40,x
West Sussex,E10000032,380,36.5,,31.7,,14,21,25,29.9,34.9,37.4,37.5,38.6,39.9,40.5
  Adur,E07000223,27,34.6,,30.1,,12.1,18.5,21.1,22.8,30,35.9,37.3,37.5,37.9,x
  Arun,E07000224,62,37,,30.9,,12.1,19,22,24.7,32.4,37.5,37.5,38.6,39.8,x
  Chichester,E07000225,46,36.8,,31.8,,x,19,23,25.6,33.5,37.5,38.8,39.9,40,x
  Crawley,E07000226,52,37,,33.5,,18.5,25.9,31,32.5,35,37.5,38,39.9,40,x
  Horsham,E07000227,62,35,,30.3,,10.2,18.4,22.3,25,32.5,37,37.5,38.6,40,x
  Mid Sussex,E07000228,79,36,,31.8,,13.8,22.5,28,31,35,37.4,37.5,38.6,39.9,x
  Worthing,E07000229,53,37,,32.7,,18.1,25.2,29.1,31.2,35,37.4,37.5,x,37.7,x
South West ,E12000009,"2,327",36.9,,31.7,,14.1,22,25,29.9,34.7,37.2,37.5,38,39.9,40.1
Bath and North East Somerset UA,E06000022,79,35,,30,,11,19.5,21.9,24.8,32.1,37,37.5,37.5,37.5,x
"Bournemouth, Christchurch and Poole UA",E06000058,159,37,,32.2,,15.6,22.5,26,30,35,37.5,37.5,39.1,40,40.2
"Bristol, City of UA",E06000023,218,36.9,,32.2,,15.9,23.9,27.8,31.4,35,37.3,37.5,37.5,38.3,40
Dorset UA,E06000059,153,37,,30.9,,12,20,23.6,26.2,33.7,37,37.5,37.5,39.1,40.5
North Somerset UA,E06000024,90,37,,32.4,,16.1,22.5,27.3,31.8,35,37.4,37.5,38,40,40.2
Plymouth UA,E06000026,90,36.9,,31.2,,13.3,20,23.9,29.4,32.5,37,37.5,38,39.6,40
South Gloucestershire UA,E06000025,127,37,,32.5,,16.4,22.8,27.7,31.9,35,37.4,38,39,40,40.5
Swindon UA,E06000030,114,37,,33.5,,18.8,29.5,31.9,34,35,37.5,37.5,38,39.2,40
Torbay UA,E06000027,59,37,,32.8,,16.2,22.5,26.2,30,33.1,37,37.5,37.5,39,x
Cornwall UA,E06000052,192,35.4,,31,,14.6,20,23.5,25.9,31.9,37,37.5,39,40,42
Isles of Scilly ,E06000053,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Wiltshire UA,E06000054,223,36.9,,31.5,,12.5,22.2,25,29.9,34.9,37,37.5,37.5,39.1,40
Devon,E10000008,310,35.8,,30.8,,12,19.9,22.7,26.4,32.4,37,37.5,38.7,39.9,40.7
  East Devon,E07000040,55,36.8,,31,,14.5,21.1,23.9,28,32.6,37.2,37.5,38.8,39.9,x
  Exeter,E07000041,57,36.3,,31.3,,11.8,22.1,24.7,29.8,32.5,37,37.5,37.9,39.9,x
  Mid Devon,E07000042,36,35.8,,31.9,,x,20,24,28.2,32.2,37.4,39.1,40,x,x
  North Devon,E07000043,39,34.3,,29.6,,10.8,18.4,21.1,23.9,30,37,37.5,37.5,38,x
  South Hams,E07000044,26,35.3,,30.8,,10.2,16.4,22.2,27.6,32.4,37,37.5,38.7,40,x
  Teignbridge,E07000045,48,36.8,,32,,15.9,20.4,24,29.4,33.8,37.5,37.9,39.1,40,x
  Torridge,E07000046,29,32.4,,29.1,,11,15,19,21.3,30,36.6,37.5,38.2,39.9,x
  West Devon,E07000047,19,34,,29.2,,x,x,18.5,x,30,36.9,37.5,37.5,39.1,x
Gloucestershire,E10000013,256,37,,32.6,,15.7,23,27.8,32.4,36,37.5,37.5,39,40,40
  Cheltenham,E07000078,53,37,,33,,17,26.6,30,32.4,36.2,37.4,x,37.5,38.9,x
  Cotswold,E07000079,35,37,,32.8,,13.6,22.3,28.2,31.5,35,37.5,38.6,39.8,40,x
  Forest of Dean,E07000080,30,37,,32.3,,14.9,21.9,24,29,35,37.2,37.7,39.1,40,x
  Gloucester,E07000081,53,37,,33.3,,17.6,24.1,30,34.5,36.6,37.5,38.9,39.3,40,x
  Stroud,E07000082,48,37,,31.7,,11.8,21.6,24.3,31,35,37,37.5,38,39.9,x
  Tewkesbury,E07000083,36,37,,32.4,,16,21.3,25.3,32.2,35.6,37.5,37.5,38.8,40,x
Somerset,E10000027,258,36.9,,31.2,,12.5,21,24.2,27.5,32.5,37.4,37.5,38.9,39.9,40.5
  Mendip,E07000187,55,36,,29.9,,12,18,21.5,24.2,28.4,37,37.5,38.9,39.9,x
  Sedgemoor,E07000188,50,36.9,,31.8,,13.9,21.2,25.4,29.6,34.9,37.5,39,40,40,x
  South Somerset,E07000189,82,36.9,,31.7,,14.1,22.3,25,28.5,32.5,37,37.5,38,39.3,40.2
  Somerset West and Taunton,E07000246,71,36.9,,31.2,,10.6,20.9,24.7,29.9,34.5,37.5,37.5,38.1,39.9,x
Wales  ,W92000004,"1,236",36.9,,32.2,,15.9,23.9,27.5,30,34.9,37,37.5,37.5,39,40
Isle of Anglesey / Ynys Môn,W06000001,26,37,,32.9,,17.7,26.8,30.8,32.5,35,37,37.5,37.5,39,x
Gwynedd / Gwynedd,W06000002,48,32.5,,29.5,,11.9,19.9,22.9,25,29.9,36.2,37,37,37.5,x
Conwy / Conwy,W06000003,47,35,,30.9,,13.3,20.2,23.6,26.2,32.5,37,37.5,37.5,39,x
Denbighshire / Sir Ddinbych,W06000004,33,34.7,,30.7,,12,20,22.9,26,30,37,37.5,37.7,39.8,x
Flintshire / Sir y Fflint,W06000005,64,36.5,,34.5,,21.3,28.5,31.9,32.5,34.9,37.4,37.9,39,39.9,x
Wrexham / Wrecsam,W06000006,57,37,,32.9,,16,24,26.3,30,35.5,37.5,37.5,39,40,x
Powys / Powys,W06000023,40,36.8,,32.3,,12,21.3,26,29.2,34,37.5,38.9,39.8,40,x
Ceredigion / Ceredigion,W06000008,30,36.8,,32.6,,15,20.4,24.9,28,34.2,37,37.5,37.5,38.8,x
Pembrokeshire / Sir Benfro,W06000009,43,37,,32.5,,16.5,24,27.6,30,33,37,37.5,38,39.9,x
Carmarthenshire / Sir Gaerfyrddin,W06000010,80,35.5,,30.8,,13.5,20,24,27.5,31.2,37,37.5,37.5,38.3,x
Swansea / Abertawe,W06000011,88,36.9,,32,,16,23.3,27.5,29.8,34.9,37,37.5,37.5,37.5,x
Neath Port Talbot / Castell-nedd Port Talbot,W06000012,61,37,,32.3,,15.2,23.5,27.5,30.9,35.5,37,37.5,38,39.7,x
Bridgend / Pen-y-bont ar Ogwr,W06000013,59,37,,32.6,,15.2,24.1,27.8,30,35,37.4,37.5,37.9,39,x
Vale of Glamorgan / Bro Morgannwg,W06000014,49,37,,32.6,,16.2,24,30,32.2,35,37.1,37.5,37.7,39.6,x
Cardiff / Caerdydd,W06000015,146,35,,31.7,,15,24.6,29.3,31.1,34.9,37,37.4,37.5,37.5,40
Rhondda Cynon Taf / Rhondda Cynon Taf,W06000016,98,36,,31.5,,15.3,23,27.1,30,33.2,37,x,37.5,37.5,x
Merthyr Tydfil / Merthyr Tudful,W06000024,31,37,,33.2,,16,25.2,32,32.5,36,37.5,37.5,38,39,x
Caerphilly / Caerffili,W06000018,72,37,,32,,15,22.5,25.3,30.1,34.9,37.3,37.5,38.9,39.8,x
Blaenau Gwent / Blaenau Gwent,W06000019,26,37,,33.1,,x,25.7,29.2,32.5,36.1,37.5,38,39,40,x
Torfaen / Torfaen,W06000020,36,37,,33.5,,18,26.6,30.9,34,36.9,37.5,38,39.3,40,x
Monmouthshire / Sir Fynwy,W06000021,36,37,,33.4,,19.6,26.7,30,33.1,36.7,37.4,37.5,37.5,39.5,x
Newport / Casnewydd,W06000022,66,36.3,,33,,18,26.1,29.9,32.2,35,37,37.5,37.5,38.8,x
Scotland ,S92000003,"2,249",36,,32.1,,16,23.2,28,31,35,37,37.4,37.5,39,40
Aberdeen City,S12000033,104,37,,32,,13.4,21.9,26.4,31.5,35.2,37.4,37.5,38,39,40
Aberdeenshire,S12000034,91,36.5,,31.7,,14,20.9,24.6,29.3,34.5,37.4,38,39.4,40,40.7
Angus,S12000041,51,35,,31.4,,15,22.9,25,28,34,37,37.4,37.5,39,x
Argyll and Bute,S12000035,35,35,,30.5,,14.2,18.3,24,25.4,33.3,37,37.4,37.5,37.5,x
Clackmannanshire,S12000005,25,36.3,,33.4,,18.8,27.7,31.7,34.9,35,37.4,37.5,37.9,38,x
Dumfries and Galloway,S12000006,58,35,,31.7,,12.9,22,24.5,29.5,35,36.2,37.4,37.5,39,x
Dundee City,S12000042,65,36.2,,32.1,,18,24.8,29,30.5,35,37,x,37.4,37.5,x
East Ayrshire,S12000008,55,35.1,,31.5,,15,22.4,25,28.7,35,37,37.4,37.5,39,x
East Dunbartonshire,S12000045,43,36,,32.8,,16.1,27.2,30,32.2,35,37.1,37.5,38,39.9,x
East Lothian,S12000010,41,36,,31.7,,15.9,24,28.4,32.2,35,37,37.4,37.5,37.5,x
East Renfrewshire,S12000011,39,35,,31.4,,17.5,22.5,25,28,34.9,36,37,37.4,37.5,x
City of Edinburgh,S12000036,217,35.3,,32.5,,17.5,25,29.9,32.2,35,37,37.4,37.5,37.5,40
Falkirk,S12000014,66,37,,33,,17,25.8,30,33.7,35,37.4,37.5,37.5,39,x
Fife,S12000047,151,36,,31.6,,15.1,22.3,25.1,30,35,37,37.4,37.5,38.9,40
Glasgow City,S12000049,241,35,,31.8,,16,21.2,26.5,30,35,37,37.4,37.5,38,40
Highland,S12000017,102,35.9,,32.2,,14.9,21,25.3,30,35,37.4,37.5,39,39.9,41.3
Inverclyde,S12000018,30,36.5,,30.8,,13.8,19.3,22.5,27.2,34.2,x,37.3,x,37.4,x
Midlothian,S12000019,50,36,,32.7,,19.9,25,28.3,30.9,35,36.6,x,37.4,37.5,x
Moray,S12000020,35,36.1,,31.4,,13.7,20,22.5,26.3,34.9,37,38,39,39.9,x
Na h-Eileanan Siar,S12000013,10,35,,32.3,,x,24.9,27.5,28.2,35,37,x,x,x,x
North Ayrshire,S12000021,55,35.9,,32.6,,17.5,24.3,29.9,31,35,37,37.4,37.5,38,x
North Lanarkshire,S12000050,145,36,,32.4,,17,25,29.4,32.2,35,37,37.4,37.5,39,40
Orkney Islands,S12000023,12,34.9,,29.9,,x,x,x,26.8,31.5,35,37.3,37.5,x,x
Perth and Kinross,S12000048,77,36,,32.6,,17.2,24.9,29.5,32,35,37,37.5,38.4,39.3,40
Renfrewshire,S12000038,70,36.5,,32.3,,16,22.9,28,32.2,35,37.4,37.5,37.8,39,x
Scottish Borders,S12000026,48,36,,32,,16,22.7,25.8,30.5,35,37,37.5,39,39.1,x
Shetland Islands,S12000027,10,37,,33.7,,x,28,30,33.3,35,37.1,37.4,37.5,x,x
South Ayrshire,S12000028,41,37,,32.7,,17.4,23.9,30,34.6,35,37.4,37.5,38.9,39.8,x
South Lanarkshire,S12000029,145,35,,32,,15,24,28.3,32,35,37,37.4,37.5,38.4,40
Stirling,S12000030,38,36,,32.9,,17.8,26.1,30,33,35,37,37.5,38,39.8,x
West Dunbartonshire,S12000039,36,35,,31.5,,15,22.3,27.5,30,35,37,x,37.4,37.5,x
West Lothian,S12000040,66,37.1,,33.5,,17.3,29.5,32.2,34.9,36,37.4,37.5,38.9,39,x
Northern Ireland ,N92000002,"1,080",37,,32.5,,15.5,23.5,27.7,30.4,35,37.5,38.4,39.9,40,41.6
Not Classified,,259,36,,32,,12.5,21.9,26,30.1,35,37.4,37.5,39,40,40.5
